"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"ESP","Espey Mfg. & Electronics Corp.","28.82","$67.96M","nan","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp","AMEX"
"EMXX","Eurasian Minerals Inc.","0.71","$52.13M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx","AMEX"
"EVBN","Evans Bancorp, Inc.","24.26","$102.2M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn","AMEX"
"EPM","Evolution Petroleum Corporation, Inc.","5.96","$195.85M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm","AMEX"
"EPM^A","Evolution Petroleum Corporation, Inc.","25.4145","nan","nan","nan","nan","http://www.nasdaq.com/symbol/epm^a","AMEX"
"XRA","Exeter Resource Corporation","0.6362","$56.25M","nan","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra","AMEX"
"FPI","Farmland Partners Inc.","11.88","$91.85M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fpi","AMEX"
"FPP","FieldPoint Petroleum Corporation","1.02","$8.3M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp","AMEX"
"FPP/WS","FieldPoint Petroleum Corporation","0.0975","nan","nan","nan","nan","http://www.nasdaq.com/symbol/fpp/ws","AMEX"
"FEN","First Trust Energy Income and Growth Fund","34.01","$658.27M","2004","nan","nan","http://www.nasdaq.com/symbol/fen","AMEX"
"FWV","First West Virginia Bancorp, Inc.","22.75","$39.1M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/fwv","AMEX"
"BDL","Flanigan&#39;s Enterprises, Inc.","31.47","$58.49M","nan","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl","AMEX"
"FSI","Flexible Solutions International Inc.","1.24","$16.33M","nan","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi","AMEX"
"FTF","Franklin Limited Duration Income Trust","12.248","$328.68M","2003","nan","nan","http://www.nasdaq.com/symbol/ftf","AMEX"
"FSP","Franklin Street Properties Corp.","12.92","$1.29B","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp","AMEX"
"FRD","Friedman Industries Inc.","6.34","$43.11M","nan","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd","AMEX"
