indx,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote,Exchange,minutedata
741,CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.52,$2.19M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp,NASDAQ,True
742,CBAY,Cymabay Therapeutics Inc.,6.99,$106.53M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbay,NASDAQ,True
743,CYNO,"Cynosure, Inc.",31.11,$676.09M,2005.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cyno,NASDAQ,True
744,CY,Cypress Semiconductor Corporation,13.86,$2.29B,1986.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy,NASDAQ,True
745,CYRN,CYREN Ltd.,3.06,$81.36M,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn,NASDAQ,True
746,CONE,CyrusOne Inc,31.61,$1.23B,2013.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone,NASDAQ,True
747,CYTK,"Cytokinetics, Incorporated",7.02,$271.73M,2004.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk,NASDAQ,True
748,CYTX,Cytori Therapeutics Inc,1.16,$125.49M,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx,NASDAQ,True
749,CTSO,Cytosorbents Corporation,7.71,$189.07M,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso,NASDAQ,True
750,CYTR,CytRx Corporation,3.48,$193.92M,1986.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr,NASDAQ,True
751,DAEG,Daegis Inc,0.81,$13.27M,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/daeg,NASDAQ,True
752,DJCO,Daily Journal Corp. (S.C.),185.67,$256.36M,,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco,NASDAQ,True
753,DAKT,"Daktronics, Inc.",10.61,$462.83M,1994.0,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt,NASDAQ,True
754,DARA,"DARA Biosciences, Inc.",0.74,$14.62M,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dara,NASDAQ,True
755,DAIO,Data I/O Corporation,3.57,$28.07M,1981.0,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio,NASDAQ,True
756,DTLK,Datalink Corporation,11.68,$266.6M,1999.0,Technology,EDP Services,http://www.nasdaq.com/symbol/dtlk,NASDAQ,True
757,DRAM,Dataram Corporation,2.12,$5.78M,,Technology,Electronic Components,http://www.nasdaq.com/symbol/dram,NASDAQ,True
758,DWCH,Datawatch Corporation,6.65,$75.48M,1992.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch,NASDAQ,True
759,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",30.13,$1.2B,2014.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play,NASDAQ,True
760,DWSN,Dawson Geophysical Company,4.62,$100.22M,,,,http://www.nasdaq.com/symbol/dwsn,NASDAQ,True
761,DBVT,DBV Technologies S.A.,24.69,$763.87M,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt,NASDAQ,True
762,TRAK,"Dealertrack Technologies, Inc.",37.79,$2.05B,2005.0,Technology,EDP Services,http://www.nasdaq.com/symbol/trak,NASDAQ,True
763,DHRM,Dehaier Medical Systems Limited,2.8188,$16.46M,2010.0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dhrm,NASDAQ,True
764,DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",20.12,$471.67M,2012.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg,NASDAQ,True
765,DCTH,"Delcath Systems, Inc.",0.95,$11.56M,2000.0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dcth,NASDAQ,True
766,DGAS,"Delta Natural Gas Company, Inc.",19.58,$137.31M,1981.0,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/dgas,NASDAQ,True
767,DENN,Denny&#39;s Corporation,11.68,$991.09M,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/denn,NASDAQ,True
768,XRAY,DENTSPLY International Inc.,50.23,$7.05B,1987.0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/xray,NASDAQ,True
769,DEPO,"Depomed, Inc.",22.47,$1.34B,,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/depo,NASDAQ,True
770,DSCI,"Derma Sciences, Inc.",8.17,$209.98M,,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dsci,NASDAQ,True
771,DERM,"Dermira, Inc.",15.91,$392.51M,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/derm,NASDAQ,True
