"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"MPAA","Motorcar Parts of America, Inc.","27.34","$491.03M","nan","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/mpaa","NASDAQ"
"MDM","Mountain Province Diamonds Inc.","3.81","$605.66M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mdm","NASDAQ"
"MRVC","MRV Communications, Inc.","7.51","$53.24M","1992","Technology","Semiconductors","http://www.nasdaq.com/symbol/mrvc","NASDAQ"
"MSBF","MSB Financial Corp.","11.36","$56.92M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/msbf","NASDAQ"
"MTSC","MTS Systems Corporation","75.31","$1.13B","nan","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mtsc","NASDAQ"
"LABL","Multi-Color Corporation","69.83","$1.16B","1987","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/labl","NASDAQ"
"MFLX","Multi-Fineline Electronix, Inc.","18.81","$457.14M","2004","Technology","Electrical Products","http://www.nasdaq.com/symbol/mflx","NASDAQ"
"MFSF","MutualFirst Financial Inc.","23.25","$170.83M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/mfsf","NASDAQ"
"MYL","Mylan N.V.","58.095","$28.43B","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/myl","NASDAQ"
"MYOS","MYOS Corporation","4.4899","$13.93M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/myos","NASDAQ"
"MYRG","MYR Group, Inc.","31.24","$649.08M","nan","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/myrg","NASDAQ"
"MYGN","Myriad Genetics, Inc.","35.1","$2.5B","1995","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/mygn","NASDAQ"
"NANO","Nanometrics Incorporated","16.01","$381.89M","1984","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nano","NASDAQ"
"NSPH","Nanosphere, Inc.","0.2353","$27.6M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nsph","NASDAQ"
"NSTG","NanoString Technologies, Inc.","10.88","$199.8M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nstg","NASDAQ"
"NSSC","NAPCO Security Technologies, Inc.","5.69","$108.54M","nan","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/nssc","NASDAQ"
"NATH","Nathan&#39;s Famous, Inc.","58.57","$263.37M","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nath","NASDAQ"
"NAUH","National American University Holdings, Inc.","3.45","$86.88M","nan","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/nauh","NASDAQ"
"NKSH","National Bankshares, Inc.","29.2","$202.95M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/nksh","NASDAQ"
"FIZZ","National Beverage Corp.","24.58","$1.14B","nan","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fizz","NASDAQ"
"NCMI","National CineMedia, Inc.","15.53","$954.63M","2007","Consumer Services","Advertising","http://www.nasdaq.com/symbol/ncmi","NASDAQ"
"NCOM","National Commerce Corporation","21.65","nan","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/ncom","NASDAQ"
"NGHC","National General Holdings Corp","18.68","$1.75B","nan","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghc","NASDAQ"
"NGHCO","National General Holdings Corp","24.9","nan","nan","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghco","NASDAQ"
"NGHCP","National General Holdings Corp","25.24","$55.53M","nan","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/nghcp","NASDAQ"
"NHLD","National Holdings Corporation","3.9","$48.54M","nan","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/nhld","NASDAQ"
"NATI","National Instruments Corporation","32.41","$4.15B","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nati","NASDAQ"
"NATL","National Interstate Corporation","28.71","$569.56M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/natl","NASDAQ"
"NPBC","National Penn Bancshares, Inc.","10.85","$1.52B","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/npbc","NASDAQ"
"NRCIA","National Research Corporation","14.34","$350.77M","nan","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcia","NASDAQ"
"NRCIB","National Research Corporation","31.79","$777.62M","nan","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcib","NASDAQ"
"NSEC","National Security Group, Inc.","14.1","$35.36M","nan","Finance","Life Insurance","http://www.nasdaq.com/symbol/nsec","NASDAQ"
"NWLI","National Western Life Insurance Company","256.1","$931.22M","nan","Finance","Life Insurance","http://www.nasdaq.com/symbol/nwli","NASDAQ"
"NAII","Natural Alternatives International, Inc.","5.36","$37.09M","nan","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/naii","NASDAQ"
"NHTC","Natural Health Trends Corp.","18","$224.68M","nan","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/nhtc","NASDAQ"
"NATR","Nature&#39;s Sunshine Products, Inc.","12.83","$239.46M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/natr","NASDAQ"
"BABY","Natus Medical Incorporated","40.08","$1.31B","2001","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/baby","NASDAQ"
"NVSL","Naugatuck Valley Financial Corporation","9.07","$63.51M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/nvsl","NASDAQ"
"NAVI","Navient Corporation","20.36","$8.17B","nan","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/navi","NASDAQ"
"NBTB","NBT Bancorp Inc.","25.19","$1.11B","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/nbtb","NASDAQ"
"NCIT","NCI, Inc.","10.05","$130.71M","2005","Technology","EDP Services","http://www.nasdaq.com/symbol/ncit","NASDAQ"
"NKTR","Nektar Therapeutics","11","$1.45B","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nktr","NASDAQ"
"NEOG","Neogen Corporation","46.27","$1.71B","1989","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/neog","NASDAQ"
"NEO","NeoGenomics, Inc.","4.79","$288.63M","nan","Health Care","Precision Instruments","http://www.nasdaq.com/symbol/neo","NASDAQ"
